Id,P,Y,R,PT,S,YB,Sch,C,L
1,534500,2013,2,0,1818,1936,1,1,9818
2,854200,2004,2,1,2433,1950,2,2,7874
3,901700,2018,4,1,1922,1971,1,4,8911
4,531900,2013,2,0,1599,1964,2,1,9032
5,644100,2011,2,0,2238,1968,1,3,7844
6,742600,2003,3,0,1989,1936,1,4,7766
7,476700,2000,2,0,1535,1951,2,1,9625
8,560100,2004,3,0,1480,1965,0,3,8056
9,593400,2017,2,0,1657,1956,0,2,7595
10,680100,2005,4,0,1581,1974,1,4,5601
11,792900,2004,4,0,1710,1959,2,1,9695
12,571500,2001,4,0,1353,1971,0,4,6083
13,754900,2007,3,0,1852,1979,1,4,5181
14,520600,2012,3,0,1337,1949,0,3,6992
15,592100,2007,2,0,1730,1944,1,2,5964
16,622100,2017,3,0,1450,1952,1,4,5642
17,836400,2008,3,0,2481,1929,1,3,5330
18,507600,2011,4,0,1174,1965,0,2,8860
19,419900,2001,2,1,1424,1966,1,1,5961
20,515300,2004,2,1,1676,1936,1,1,9776
21,455900,2016,2,0,1225,1977,1,4,7867
22,976900,2016,4,0,2150,1982,0,4,7212
23,501300,2010,2,1,1836,1980,0,3,7396
24,674500,2009,3,0,2029,1982,1,2,5390
25,797000,2013,3,1,2211,1935,0,3,6912
26,699600,2008,3,0,2220,1985,1,2,7218
27,527500,2015,3,0,1226,1958,1,3,8229
28,471200,2003,2,1,1463,1941,1,2,5538
29,866100,2007,2,0,2474,1951,1,2,8799
30,524000,2015,2,0,1644,1963,1,2,7025
31,770400,2003,2,0,2330,1969,2,3,5669
32,551500,2015,3,0,1249,1953,0,2,7266
33,656700,2016,4,1,1115,1945,2,4,7149
34,707200,2001,4,0,1740,1928,0,1,7423
35,782800,2006,3,1,1908,1945,1,2,9252
36,840200,2003,4,0,2072,1958,1,2,8714
37,626000,2007,3,0,1418,1933,1,2,8395
38,548400,2010,2,0,1939,1972,0,4,9977
39,851100,2017,4,0,1856,1984,0,2,7826
40,483000,2004,2,1,1240,1985,2,3,6534
41,555500,2001,2,1,1928,1965,1,2,6579
42,777300,2007,4,0,1705,1943,0,2,6621
43,797800,2005,2,0,2401,1929,1,4,7677
44,450000,2009,3,0,1275,1938,1,2,9705
45,798800,2011,3,1,2130,1940,2,3,7243
46,649300,2011,3,0,1675,1973,2,4,6126
47,519000,2015,2,1,1590,1962,0,2,9032
48,1104700,2006,3,1,2417,1931,2,2,9432
49,855800,2017,3,0,2012,1954,0,2,5129
50,828300,2017,2,0,2394,1957,0,4,5305
51,674300,2002,3,1,1944,1950,1,4,9817
52,595000,2006,3,1,1454,1935,1,2,5054
53,741500,2008,3,0,2118,1948,2,2,6794
54,523100,2017,3,1,1100,1936,1,3,6879
55,681000,2010,4,0,1883,1929,1,2,8742
56,1046400,2012,4,0,2330,1970,2,2,6844
57,729700,2011,4,0,1910,1971,1,4,7657
58,558000,2003,3,0,1308,1974,2,3,7517
59,541900,2007,2,1,1536,1939,1,2,5832
60,517200,2006,2,0,1466,1985,1,2,8632
61,586300,2009,4,0,1547,1951,1,3,6014
62,637800,2011,4,1,1435,1961,2,2,8465
63,526400,2005,3,0,1144,1985,1,3,5148
64,840900,2007,4,0,1847,1930,1,2,5786
65,541700,2014,3,0,1303,1960,1,4,5433
66,706500,2000,4,0,1873,1985,1,4,8475
67,501900,2009,3,0,1499,1936,1,3,7478
68,685700,2005,2,0,2146,1988,0,3,6129
69,629900,2003,4,0,1532,1952,1,2,6894
70,580100,2004,3,0,1255,1938,2,2,7506
71,517200,2002,2,0,1804,1957,1,3,8454
72,780400,2017,2,0,2344,1930,0,3,6927
73,519900,2001,3,0,1378,1929,0,3,9493
74,430900,2008,2,0,1582,1948,1,3,8264
75,863800,2004,4,0,2080,1960,0,3,8039
76,593200,2011,4,1,1489,1941,1,2,9466
77,427600,2005,2,0,1238,1974,0,2,6530
78,624100,2001,4,0,1611,1928,0,3,6423
79,644500,2003,3,0,1573,1954,2,2,5074
80,1034700,2018,3,0,2401,1971,0,3,7926
81,996100,2017,3,0,2411,1942,0,2,5151
82,420800,2001,2,0,1392,1931,1,2,6208
83,742700,2010,3,1,2187,1982,1,2,5183
84,506100,2000,4,0,1214,1977,0,4,5524
85,565500,2006,2,0,1543,1931,2,2,5156
86,808300,2007,2,1,2142,1985,2,3,6938
87,438300,2009,2,1,1683,1934,0,4,6806
88,719300,2013,2,0,2183,1986,2,4,6901
89,726900,2005,2,1,2244,1983,1,4,9403
90,576000,2016,2,0,1683,1959,0,4,6470
91,625400,2013,4,0,1477,1954,0,2,5685
92,485400,2010,3,1,1143,1937,2,3,7018
93,493200,2016,2,1,1399,1959,1,3,9156
94,488100,2004,2,0,1536,1956,0,3,6641
95,804300,2014,2,0,2299,1960,2,2,8022
96,503300,2011,4,1,1117,1967,1,1,7839
97,936400,2005,3,0,2204,1950,2,3,9729
98,922100,2005,4,0,2212,1971,1,4,7003
99,657300,2002,3,0,1861,1938,1,3,5562
100,669700,2006,3,0,1681,1961,1,2,5967
101,693800,2005,4,0,1332,1953,2,2,5976
102,582600,2002,4,1,1356,1933,1,4,7890
103,667400,2010,2,1,2451,1945,0,3,5589
104,554800,2006,3,0,1225,1956,1,1,9144
105,475500,2012,2,1,1637,1936,1,3,5923
106,718400,2009,3,1,2150,1976,0,4,8411
107,417100,2002,2,0,1335,1962,1,4,8114
108,434000,2008,3,1,1211,1963,0,1,8844
109,784400,2005,2,0,2383,1960,1,4,5185
110,701500,2008,3,0,2130,1943,1,3,7889
111,667500,2003,2,1,2150,1986,1,4,7065
112,560300,2002,4,1,1280,1974,1,3,9871
113,576400,2006,4,0,1122,1956,0,3,9013
114,616000,2011,2,0,2167,1956,1,1,7740
115,483900,2009,3,1,1424,1945,1,3,9851
116,726900,2005,3,1,1841,1975,1,2,5138
117,462500,2014,3,0,1104,1946,1,1,9116
118,982600,2007,3,1,2208,1968,2,3,6646
119,505100,2015,2,1,1420,1933,1,2,5334
120,371300,2008,2,1,1316,1952,0,3,5619
121,753600,2011,3,0,2115,1961,0,2,8609
122,611200,2008,4,0,1705,1940,0,2,7978
123,483200,2010,3,0,1387,1975,1,3,5034
124,975900,2006,4,0,1973,1972,2,3,7767
125,584000,2017,2,1,1758,1929,0,1,7528
126,972900,2001,4,0,2263,1961,2,2,5671
127,726700,2014,2,0,2294,1962,1,3,8014
128,653200,2004,4,0,1491,1966,0,1,9643
129,679000,2005,2,1,2075,1960,0,2,9139
130,665700,2016,4,1,1469,1984,1,3,6391
131,1335300,2018,4,0,2443,1948,2,3,6190
132,636200,2017,3,1,1479,1978,0,3,9982
133,777200,2008,4,0,2178,1957,1,4,7003
134,539500,2002,4,1,1180,1930,0,3,8266
135,378700,2001,2,0,1138,1984,1,2,8439
136,863100,2014,3,1,2273,1957,0,4,6002
137,517700,2005,2,0,1642,1929,1,2,6176
138,701200,2011,2,0,2432,1987,0,3,9195
139,537600,2002,3,0,1369,1952,1,2,8086
140,1060900,2006,4,1,2404,1951,1,1,9644
141,625200,2012,4,0,1481,1964,1,1,6939
142,660800,2007,3,1,1537,1947,1,3,8307
143,550100,2010,2,0,1936,1958,1,2,5885
144,824400,2015,3,0,2166,1947,1,2,7762
145,923900,2016,3,1,2003,1948,2,2,5434
146,804300,2000,4,0,1997,1958,2,3,6519
147,585800,2013,2,0,1782,1945,2,2,7837
148,778100,2017,2,0,2309,1985,1,2,7424
149,564700,2005,2,0,1768,1979,0,2,8509
150,873900,2018,3,1,1873,1929,2,4,7024
151,858500,2010,4,1,2326,1983,1,4,7924
152,625400,2002,2,0,2064,1945,1,2,7200
153,1026700,2006,3,1,2485,1958,1,2,7729
154,1006100,2017,4,0,2010,1948,2,2,6490
